roaster,product_name,origin,roast_type,size,price,hearts,total_reviews,heart_percentage,decaf,blend,single_origin,available_ground,tags,url,product_id,has_reviews,price_numeric,size_oz,price_per_oz
Seven Coffee Roasters,Brazil Carmo De Minas,Brazil,Medium Roast,12oz,$15.27,71,99,71.7,False,False,True,True,"Medium Roast, Brazil, Direct Trade, Available Ground, Single Origin",/products/brazil-carmo-de-minas-1,5890042a385372110089aa93,True,15.27,12,1.27
Blossom Coffee Roasters,Espresso Velluto Organic,Unspecified,Light-Medium Roast,12oz,$15.53,69,100,69.0,False,True,False,True,"Light-Medium Roast, Blend, Espresso, Organic, Available Ground",/products/espresso-velluto-organic,5f1fcea49628d40004718e70,True,15.53,12,1.29
Blossom Coffee Roasters,Espresso Velluto Organic,Unspecified,Light-Medium Roast,32oz,$34.20,69,100,69.0,False,True,False,True,"Light-Medium Roast, Blend, Espresso, Organic, Available Ground",/products/espresso-velluto-organic,5f1fcea49628d40004718e70,True,34.2,32,1.07
Blossom Coffee Roasters,Espresso Velluto Organic,Unspecified,Light-Medium Roast,80oz,$79.65,69,100,69.0,False,True,False,True,"Light-Medium Roast, Blend, Espresso, Organic, Available Ground",/products/espresso-velluto-organic,5f1fcea49628d40004718e70,True,79.65,80,1.0
Blossom Coffee Roasters,First Light Breakfast Blend,Unspecified,Medium Roast,12oz,$15.75,69,92,75.0,False,True,False,True,"Medium Roast, Blend, Available Ground",/products/first-light-breakfast-blend,5f1fcea59628d40004718e7f,True,15.75,12,1.31
Blossom Coffee Roasters,First Light Breakfast Blend,Unspecified,Medium Roast,32oz,$34.20,69,92,75.0,False,True,False,True,"Medium Roast, Blend, Available Ground",/products/first-light-breakfast-blend,5f1fcea59628d40004718e7f,True,34.2,32,1.07
Blossom Coffee Roasters,First Light Breakfast Blend,Unspecified,Medium Roast,80oz,$79.20,69,92,75.0,False,True,False,True,"Medium Roast, Blend, Available Ground",/products/first-light-breakfast-blend,5f1fcea59628d40004718e7f,True,79.2,80,0.99
Olympia Coffee Roasting Co.,Morning Sun,El Salvador,Medium-Dark Roast,12oz,$15.75,68,94,72.3,False,False,True,False,"Medium-Dark Roast, El Salvador, Direct Trade, Fair Trade, Single Origin",/products/morning-sun-organic,5c5c1b46fcd18d0016b9c9c2,True,15.75,12,1.31
Olympia Coffee Roasting Co.,Morning Sun,El Salvador,Medium-Dark Roast,32oz,$39.87,68,94,72.3,False,False,True,False,"Medium-Dark Roast, El Salvador, Direct Trade, Fair Trade, Single Origin",/products/morning-sun-organic,5c5c1b46fcd18d0016b9c9c2,True,39.87,32,1.25
Olympia Coffee Roasting Co.,Morning Sun,El Salvador,Medium-Dark Roast,80oz,$94.14,68,94,72.3,False,False,True,False,"Medium-Dark Roast, El Salvador, Direct Trade, Fair Trade, Single Origin",/products/morning-sun-organic,5c5c1b46fcd18d0016b9c9c2,True,94.14,80,1.18
Olympia Coffee Roasting Co.,Morning Sun,El Salvador,Medium-Dark Roast,80oz,$94.14,68,94,72.3,False,False,True,False,"Medium-Dark Roast, El Salvador, Direct Trade, Fair Trade, Single Origin",/products/morning-sun-organic,5c5c1b46fcd18d0016b9c9c2,True,94.14,80,1.18
Tony's Coffee,Espresso Noir,Unspecified,Dark Roast,12oz,$12.32,63,93,67.7,False,True,False,True,"Dark  Roast, Blend, Espresso, Fair Trade, Organic, Available Ground",/products/espresso-noir,5a163f7d3427c60014b07175,True,12.32,12,1.03
Tony's Coffee,Espresso Noir,Unspecified,Dark Roast,24oz,$25.20,63,93,67.7,False,True,False,True,"Dark  Roast, Blend, Espresso, Fair Trade, Organic, Available Ground",/products/espresso-noir,5a163f7d3427c60014b07175,True,25.2,24,1.05
Tony's Coffee,Espresso Noir,Unspecified,Dark Roast,80oz,$63.00,63,93,67.7,False,True,False,True,"Dark  Roast, Blend, Espresso, Fair Trade, Organic, Available Ground",/products/espresso-noir,5a163f7d3427c60014b07175,True,63.0,80,0.79
Olympia Coffee Roasting Co.,Little Buddy,Unspecified,Light Roast,12oz,$19.80,60,97,61.9,False,True,False,False,"Light Roast, Blend, Espresso, Direct Trade, Fair Trade",/products/little-buddy,5a32e7d2a78e090014e7e000,True,19.8,12,1.65
Olympia Coffee Roasting Co.,Little Buddy,Unspecified,Light Roast,32oz,$49.23,60,97,61.9,False,True,False,False,"Light Roast, Blend, Espresso, Direct Trade, Fair Trade",/products/little-buddy,5a32e7d2a78e090014e7e000,True,49.23,32,1.54
Olympia Coffee Roasting Co.,Little Buddy,Unspecified,Light Roast,80oz,$114.03,60,97,61.9,False,True,False,False,"Light Roast, Blend, Espresso, Direct Trade, Fair Trade",/products/little-buddy,5a32e7d2a78e090014e7e000,True,114.03,80,1.43
Tonys Coffee,Coffeehouse Blend,Unspecified,Dark Roast,12oz,$12.32,56,74,75.7,False,True,False,True,"Dark  Roast, Blend, Available Ground",/products/coffeehouse-blend,5d72b4ed800f7e0016863571,True,12.32,12,1.03
Tonys Coffee,Coffeehouse Blend,Unspecified,Dark Roast,80oz,$59.39,56,74,75.7,False,True,False,True,"Dark  Roast, Blend, Available Ground",/products/coffeehouse-blend,5d72b4ed800f7e0016863571,True,59.39,80,0.74
Anchorhead Coffee,Narwhal Blend,Unspecified,Medium Roast,10oz,$13.50,50,74,67.6,False,True,False,False,"Medium Roast, Blend, Direct Trade",/products/narwhal-blend,58900b880db58e1100b4c125,True,13.5,10,1.35
Anchorhead Coffee,Narwhal Blend,Unspecified,Medium Roast,32oz,$36.00,50,74,67.6,False,True,False,False,"Medium Roast, Blend, Direct Trade",/products/narwhal-blend,58900b880db58e1100b4c125,True,36.0,32,1.12
Camber Coffee,Moonrise Blend,Unspecified,Light Roast,12oz,$19.80,43,58,74.1,False,True,False,True,"Light Roast, Blend, Available Ground",/products/moonrise-blend,5e30f5ffac3cdf0004a1f3e7,True,19.8,12,1.65
Camber Coffee,Moonrise Blend,Unspecified,Light Roast,32oz,$41.40,43,58,74.1,False,True,False,True,"Light Roast, Blend, Available Ground",/products/moonrise-blend,5e30f5ffac3cdf0004a1f3e7,True,41.4,32,1.29
Camber Coffee,Moonrise Blend,Unspecified,Light Roast,80oz,$99.00,43,58,74.1,False,True,False,True,"Light Roast, Blend, Available Ground",/products/moonrise-blend,5e30f5ffac3cdf0004a1f3e7,True,99.0,80,1.24
Stamp Act Coffee,Regina - A Custom Blend,Unspecified,Light-Medium Roast,12oz,$16.65,43,54,79.6,False,True,False,False,"Light-Medium Roast, Blend",/products/base-layers--holiday-blend,618f00a9a8bb9a0004dc6f7c,True,16.65,12,1.39
Kuma Coffee Roasters,Ethiopia Guji,Ethiopia,Light-Medium Roast,12oz,$22.07,39,53,73.6,False,False,True,False,"Light-Medium Roast, Ethiopia, Single Origin",/products/ethiopia-guji-1,625e4927abf21300353c7119,True,22.07,12,1.84
Caffe Vita,Organic French,Unspecified,Unspecified,12oz,$17.10,38,48,79.2,False,True,False,True,"French  Roast, Blend, Organic, Direct Trade, Available Ground, Kosher",/products/organic-french-roast,588ff187e4fcc61100cb9877,True,17.1,12,1.43
Caffe Vita,Organic French,Unspecified,Unspecified,80oz,$85.50,38,48,79.2,False,True,False,True,"French  Roast, Blend, Organic, Direct Trade, Available Ground, Kosher",/products/organic-french-roast,588ff187e4fcc61100cb9877,True,85.5,80,1.07
Tonys Coffee,Snow Joe,Unspecified,Medium Roast,12oz,$22.75,38,51,74.5,False,True,False,True,"Medium Roast, Blend, Fair Trade, Organic, Available Ground, Holiday, Kosher",/products/snow-joe-winter-blend,5fa08ff469e5b20004422510,True,22.75,12,1.9
Tonys Coffee,Snow Joe,Unspecified,Medium Roast,80oz,$103.75,38,51,74.5,False,True,False,True,"Medium Roast, Blend, Fair Trade, Organic, Available Ground, Holiday, Kosher",/products/snow-joe-winter-blend,5fa08ff469e5b20004422510,True,103.75,80,1.3
Blossom Coffee Roasters,French Roast Blend,Unspecified,Unspecified,12oz,$16.20,37,66,56.1,False,True,False,True,"French  Roast, Blend, Organic, Available Ground",/products/french-roast-blend,5f1fcea59628d40004718e84,True,16.2,12,1.35
Blossom Coffee Roasters,French Roast Blend,Unspecified,Unspecified,32oz,$33.75,37,66,56.1,False,True,False,True,"French  Roast, Blend, Organic, Available Ground",/products/french-roast-blend,5f1fcea59628d40004718e84,True,33.75,32,1.05
Blossom Coffee Roasters,French Roast Blend,Unspecified,Unspecified,80oz,$79.20,37,66,56.1,False,True,False,True,"French  Roast, Blend, Organic, Available Ground",/products/french-roast-blend,5f1fcea59628d40004718e84,True,79.2,80,0.99
Tonys Coffee,Peru Pangoa,Peru,Medium Roast,12oz,$12.60,36,46,78.3,False,False,True,True,"Medium Roast, Peru, Fair Trade, Organic, Shade Grown, Available Ground, Single Origin, Kosher",/products/peru-pangoa,5e9d3aadcb7b2400172345d9,True,12.6,12,1.05
Tonys Coffee,Peru Pangoa,Peru,Medium Roast,80oz,$67.50,36,46,78.3,False,False,True,True,"Medium Roast, Peru, Fair Trade, Organic, Shade Grown, Available Ground, Single Origin, Kosher",/products/peru-pangoa,5e9d3aadcb7b2400172345d9,True,67.5,80,0.84
Anchorhead Coffee,Costa Rica El Cedral,Costa Rica,Light-Medium Roast,10oz,$21.60,36,44,81.8,False,False,True,False,"Light-Medium Roast, Costa Rica, Single Origin",/products/costa-rica-el-cedral-natural,5f5b2fb6cf359d0034b52dff,True,21.6,10,2.16
Anchorhead Coffee,Costa Rica El Cedral,Costa Rica,Light-Medium Roast,32oz,$58.50,36,44,81.8,False,False,True,False,"Light-Medium Roast, Costa Rica, Single Origin",/products/costa-rica-el-cedral-natural,5f5b2fb6cf359d0034b52dff,True,58.5,32,1.83
Blossom Coffee Roasters,Deja Vu,Unspecified,Medium-Dark Roast,12oz,$15.30,35,49,71.4,False,True,False,True,"Medium-Dark Roast, Blend, Organic, Available Ground",/products/deja-vu,5f1fcea49628d40004718e66,True,15.3,12,1.28
Blossom Coffee Roasters,Deja Vu,Unspecified,Medium-Dark Roast,32oz,$33.75,35,49,71.4,False,True,False,True,"Medium-Dark Roast, Blend, Organic, Available Ground",/products/deja-vu,5f1fcea49628d40004718e66,True,33.75,32,1.05
Blossom Coffee Roasters,Deja Vu,Unspecified,Medium-Dark Roast,80oz,$79.20,35,49,71.4,False,True,False,True,"Medium-Dark Roast, Blend, Organic, Available Ground",/products/deja-vu,5f1fcea49628d40004718e66,True,79.2,80,0.99
Anchorhead Coffee,Leviathan (Espresso Blend),Unspecified,Light Roast,10oz,$13.50,33,53,62.3,False,True,False,False,"Light Roast, Blend, Espresso, Direct Trade",/products/leviathan-espresso-blend,58900bb90db58e1100b4c126,True,13.5,10,1.35
Anchorhead Coffee,Leviathan (Espresso Blend),Unspecified,Light Roast,32oz,$36.00,33,53,62.3,False,True,False,False,"Light Roast, Blend, Espresso, Direct Trade",/products/leviathan-espresso-blend,58900bb90db58e1100b4c126,True,36.0,32,1.12
Caffe Vita,Organic Espresso,Unspecified,Medium Roast,12oz,$16.20,33,49,67.3,False,True,False,True,"Medium Roast, Blend, Espresso, Direct Trade, Organic, Available Ground",/products/organic-espresso,588ff14fe4fcc61100cb9876,True,16.2,12,1.35
Caffe Vita,Organic Espresso,Unspecified,Medium Roast,80oz,$85.50,33,49,67.3,False,True,False,True,"Medium Roast, Blend, Espresso, Direct Trade, Organic, Available Ground",/products/organic-espresso,588ff14fe4fcc61100cb9876,True,85.5,80,1.07
Tonys Coffee,Espresso Classico,Unspecified,Medium Roast,12oz,$12.32,32,45,71.1,False,True,False,True,"Medium Roast, Blend, Espresso, Available Ground",/products/espresso-classico,5d72b36d02e7330016a1218e,True,12.32,12,1.03
Tonys Coffee,Espresso Classico,Unspecified,Medium Roast,80oz,$58.50,32,45,71.1,False,True,False,True,"Medium Roast, Blend, Espresso, Available Ground",/products/espresso-classico,5d72b36d02e7330016a1218e,True,58.5,80,0.73
