roaster,product_name,origin,roast_type,size,price,hearts,total_reviews,heart_percentage,decaf,blend,single_origin,available_ground,tags,has_reviews,price_numeric,size_oz,price_per_oz
Tonys Coffee,Peru Pangoa,Peru,Medium Roast,80oz,$67.50 ,36,46,78.3,FALSE,FALSE,TRUE,TRUE,"Medium Roast, Peru, Fair Trade, Organic, Shade Grown, Available Ground, Single Origin, Kosher",TRUE,67.5,80,0.84
Anchorhead Coffee,Costa Rica El Cedral,Costa Rica,Light-Medium Roast,10oz,$21.60 ,36,44,81.8,FALSE,FALSE,TRUE,FALSE,"Light-Medium Roast, Costa Rica, Single Origin",TRUE,21.6,10,2.16
Anchorhead Coffee,Costa Rica El Cedral,Costa Rica,Light-Medium Roast,32oz,$58.50 ,36,44,81.8,FALSE,FALSE,TRUE,FALSE,"Light-Medium Roast, Costa Rica, Single Origin",TRUE,58.5,32,1.83
Blossom Coffee Roasters,Deja Vu,Unspecified,Medium-Dark Roast,12oz,$15.30 ,35,49,71.4,FALSE,TRUE,FALSE,TRUE,"Medium-Dark Roast, Blend, Organic, Available Ground",TRUE,15.3,12,1.28
Blossom Coffee Roasters,Deja Vu,Unspecified,Medium-Dark Roast,32oz,$33.75 ,35,49,71.4,FALSE,TRUE,FALSE,TRUE,"Medium-Dark Roast, Blend, Organic, Available Ground",TRUE,33.75,32,1.05
Blossom Coffee Roasters,Deja Vu,Unspecified,Medium-Dark Roast,80oz,$79.20 ,35,49,71.4,FALSE,TRUE,FALSE,TRUE,"Medium-Dark Roast, Blend, Organic, Available Ground",TRUE,79.2,80,0.99
Anchorhead Coffee,Leviathan (Espresso Blend),Unspecified,Light Roast,10oz,$13.50 ,33,53,62.3,FALSE,TRUE,FALSE,FALSE,"Light Roast, Blend, Espresso, Direct Trade",TRUE,13.5,10,1.35
Anchorhead Coffee,Leviathan (Espresso Blend),Unspecified,Light Roast,32oz,$36.00 ,33,53,62.3,FALSE,TRUE,FALSE,FALSE,"Light Roast, Blend, Espresso, Direct Trade",TRUE,36,32,1.12
Caffe Vita,Organic Espresso,Unspecified,Medium Roast,12oz,$16.20 ,33,49,67.3,FALSE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Espresso, Direct Trade, Organic, Available Ground",TRUE,16.2,12,1.35
Caffe Vita,Organic Espresso,Unspecified,Medium Roast,80oz,$85.50 ,33,49,67.3,FALSE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Espresso, Direct Trade, Organic, Available Ground",TRUE,85.5,80,1.07
Tonys Coffee,Espresso Classico,Unspecified,Medium Roast,12oz,$12.32 ,32,45,71.1,FALSE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Espresso, Available Ground",TRUE,12.32,12,1.03
Tonys Coffee,Espresso Classico,Unspecified,Medium Roast,80oz,$58.50 ,32,45,71.1,FALSE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Espresso, Available Ground",TRUE,58.5,80,0.73
Tonys Coffee,Cafe Carmelita Decaf,Unspecified,Medium Roast,12oz,$14.39 ,32,39,82.1,TRUE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Decaf, Fair Trade, Organic, Available Ground",TRUE,14.39,12,1.2
Tonys Coffee,Cafe Carmelita Decaf,Unspecified,Medium Roast,24oz,$26.10 ,32,39,82.1,TRUE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Decaf, Fair Trade, Organic, Available Ground",TRUE,26.1,24,1.09
Tonys Coffee,Cafe Carmelita Decaf,Unspecified,Medium Roast,80oz,$67.50 ,32,39,82.1,TRUE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Decaf, Fair Trade, Organic, Available Ground",TRUE,67.5,80,0.84
Tony's Coffee,French Royale,Unspecified,Dark Roast,12oz,$12.32 ,31,41,75.6,FALSE,TRUE,FALSE,TRUE,"Dark  Roast, Blend, Fair Trade, Organic, Available Ground, Featured",TRUE,12.32,12,1.03
Tony's Coffee,French Royale,Unspecified,Dark Roast,80oz,$63.00 ,31,41,75.6,FALSE,TRUE,FALSE,TRUE,"Dark  Roast, Blend, Fair Trade, Organic, Available Ground, Featured",TRUE,63,80,0.79
