product_key,search_name,cafe_name,cafe_address,cafe_city,zip_code,longitude,latitude
Camber Coffee | Kenya Kii,'Camber Coffee',No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King
Olympia Coffee Roasting Co | 20th Anniversary Blend,'OLYMPIA COFFEE',OLYMPIA COFFEE,4824 RAINIER AVE S,SEATTLE,98118,-122.2852491300,47.5587829100
Olympia Coffee Roasting Co | 20th Anniversary Blend,'OLYMPIA COFFEE',OLYMPIA COFFEE,4824 RAINIER AVE S,SEATTLE,98118,-122.2852491300,47.5587829100
Olympia Coffee Roasting Co | 20th Anniversary Blend,'OLYMPIA COFFEE',OLYMPIA COFFEE,4824 RAINIER AVE S,SEATTLE,98118,-122.2852491300,47.5587829100
Kuma Coffee Roasters | Decaf Ethiopia Natural Suke Quto,'Kuma Coffee',No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King
Victrola Coffee Roasters | Guatemala David Solano,'VICTROLA COFFEE',VICTROLA COFFEE,3215 BEACON AVE S ,SEATTLE,98144,-122.3093023920,47.5745959838
Camber Coffee | Ethiopia Taaroo,'Camber Coffee',No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King
Camber Coffee | Ethiopia Taaroo,'Camber Coffee',No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King
Blossom Coffee Roasters | Colombia - Bourbon Sidra - Washed,'Blossom Coffee Roasters',No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King
Blossom Coffee Roasters | Colombia - Bourbon Sidra - Washed,'Blossom Coffee Roasters',No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King
Camber Coffee | Ethiopia Biloya,'Camber Coffee',No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King
Camber Coffee | Ethiopia Biloya,'Camber Coffee',No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King
Camber Coffee | Ethiopia Biloya,'Camber Coffee',No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King
Anchorhead Coffee | Colombia Cauca Cosurca,'ANCHORHEAD COFFEE',ANCHORHEAD COFFEE,1600 7TH AVE STE #105,SEATTLE,98101,-122.3346300000,47.6133330000
Anchorhead Coffee | Colombia Cauca Cosurca,'ANCHORHEAD COFFEE',ANCHORHEAD COFFEE,1600 7TH AVE STE #105,SEATTLE,98101,-122.3346300000,47.6133330000
Olympia Coffee Roasting Co | Ethiopia Kokose Natural,'OLYMPIA COFFEE',OLYMPIA COFFEE,4824 RAINIER AVE S,SEATTLE,98118,-122.2852491300,47.5587829100
Olympia Coffee Roasting Co | Ethiopia Kokose Natural,'OLYMPIA COFFEE',OLYMPIA COFFEE,4824 RAINIER AVE S,SEATTLE,98118,-122.2852491300,47.5587829100
Olympia Coffee Roasting Co | Ethiopia Kokose Natural,'OLYMPIA COFFEE',OLYMPIA COFFEE,4824 RAINIER AVE S,SEATTLE,98118,-122.2852491300,47.5587829100
Olympia Coffee Roasting Co | Ethiopia Bochesa,'OLYMPIA COFFEE',OLYMPIA COFFEE,4824 RAINIER AVE S,SEATTLE,98118,-122.2852491300,47.5587829100
Olympia Coffee Roasting Co | Ethiopia Bochesa,'OLYMPIA COFFEE',OLYMPIA COFFEE,4824 RAINIER AVE S,SEATTLE,98118,-122.2852491300,47.5587829100
Olympia Coffee Roasting Co | Ethiopia Bochesa,'OLYMPIA COFFEE',OLYMPIA COFFEE,4824 RAINIER AVE S,SEATTLE,98118,-122.2852491300,47.5587829100
Olympia Coffee Roasting Co | Kenya Boma AA Micro Lot 12,'OLYMPIA COFFEE',OLYMPIA COFFEE,4824 RAINIER AVE S,SEATTLE,98118,-122.2852491300,47.5587829100
Olympia Coffee Roasting Co | Kenya Boma AA Micro Lot 12,'OLYMPIA COFFEE',OLYMPIA COFFEE,4824 RAINIER AVE S,SEATTLE,98118,-122.2852491300,47.5587829100
Olympia Coffee Roasting Co | Kenya Boma AA Micro Lot 12,'OLYMPIA COFFEE',OLYMPIA COFFEE,4824 RAINIER AVE S,SEATTLE,98118,-122.2852491300,47.5587829100
